,省,城市
0,北京市,北京
1,北京市,北京
2,北京市,北京
3,北京市,北京
4,北京市,北京
5,北京市,北京
6,北京市,北京
7,北京市,北京
8,北京市,北京
9,北京市,北京
10,北京市,北京
11,北京市,北京
12,北京市,北京
13,北京市,北京
14,北京市,北京
15,北京市,北京
16,天津市,天津
17,天津市,天津
18,天津市,天津
19,天津市,天津
20,天津市,天津
21,天津市,天津
22,天津市,天津
23,天津市,天津
24,天津市,天津
25,天津市,天津
26,天津市,天津
27,天津市,天津
28,天津市,天津
29,天津市,天津
30,天津市,天津
31,天津市,天津
32,河北省,石家庄
33,河北省,唐山
34,河北省,秦皇岛
35,河北省,邯郸
36,河北省,邢台
37,河北省,保定
38,河北省,张家口
39,河北省,承德
40,河北省,沧州
41,河北省,廊坊
42,河北省,衡水
43,河北省,定州
44,河北省,辛集
45,山西省,太原
46,山西省,大同
47,山西省,阳泉
48,山西省,长治
49,山西省,晋城
50,山西省,朔州
51,山西省,晋中
52,山西省,运城
53,山西省,忻州
54,山西省,临汾
55,山西省,吕梁
56,内蒙古自治区,呼和浩特
57,内蒙古自治区,包头
58,内蒙古自治区,乌海
59,内蒙古自治区,赤峰
60,内蒙古自治区,通辽
61,内蒙古自治区,鄂尔多斯
62,内蒙古自治区,呼伦贝尔
63,内蒙古自治区,巴彦淖尔
64,内蒙古自治区,乌兰察布
65,内蒙古自治区,兴安
66,内蒙古自治区,锡林郭勒
67,内蒙古自治区,阿拉善
68,辽宁省,沈阳
69,辽宁省,大连
70,辽宁省,鞍山
71,辽宁省,抚顺
72,辽宁省,本溪
73,辽宁省,丹东
74,辽宁省,锦州
75,辽宁省,营口
76,辽宁省,阜新
77,辽宁省,辽阳
78,辽宁省,盘锦
79,辽宁省,铁岭
80,辽宁省,朝阳
81,辽宁省,葫芦岛
82,吉林省,长春
83,吉林省,吉林
84,吉林省,四平
85,吉林省,辽源
86,吉林省,通化
87,吉林省,白山
88,吉林省,松原
89,吉林省,白城
90,吉林省,延边朝鲜族自治
91,黑龙江省,哈尔滨
92,黑龙江省,齐齐哈尔
93,黑龙江省,鸡西
94,黑龙江省,鹤岗
95,黑龙江省,双鸭山
96,黑龙江省,大庆
97,黑龙江省,伊春
98,黑龙江省,佳木斯
99,黑龙江省,七台河
100,黑龙江省,牡丹江
101,黑龙江省,黑河
102,黑龙江省,绥化
103,黑龙江省,大兴安岭地
104,上海市,黄浦
105,上海市,徐汇
106,上海市,长宁
107,上海市,静安
108,上海市,普陀
109,上海市,虹口
110,上海市,杨浦
111,上海市,闵行
112,上海市,宝山
113,上海市,嘉定
114,上海市,浦东新
115,上海市,金山
116,上海市,松江
117,上海市,青浦
118,上海市,奉贤
119,上海市,崇明
120,江苏省,南京
121,江苏省,无锡
122,江苏省,徐州
123,江苏省,常州
124,江苏省,苏州
125,江苏省,南通
126,江苏省,连云港
127,江苏省,淮安
128,江苏省,盐城
129,江苏省,扬州
130,江苏省,镇江
131,江苏省,泰州
132,江苏省,宿迁
133,浙江省,杭州
134,浙江省,宁波
135,浙江省,温州
136,浙江省,嘉兴
137,浙江省,湖州
138,浙江省,绍兴
139,浙江省,金华
140,浙江省,衢州
141,浙江省,舟山
142,浙江省,台州
143,浙江省,丽水
144,安徽省,合肥
145,安徽省,芜湖
146,安徽省,蚌埠
147,安徽省,淮南
148,安徽省,马鞍山
149,安徽省,淮北
150,安徽省,铜陵
151,安徽省,安庆
152,安徽省,黄山
153,安徽省,滁州
154,安徽省,阜阳
155,安徽省,宿州
156,安徽省,六安
157,安徽省,亳州
158,安徽省,池州
159,安徽省,宣城
160,福建省,福州
161,福建省,厦门
162,福建省,莆田
163,福建省,三明
164,福建省,泉州
165,福建省,漳州
166,福建省,南平
167,福建省,龙岩
168,福建省,宁德
169,江西省,南昌
170,江西省,景德镇
171,江西省,萍乡
172,江西省,九江
173,江西省,新余
174,江西省,鹰潭
175,江西省,赣州
176,江西省,吉安
177,江西省,宜春
178,江西省,抚州
179,江西省,上饶
180,山东省,济南
181,山东省,青岛
182,山东省,淄博
183,山东省,枣庄
184,山东省,东营
185,山东省,烟台
186,山东省,潍坊
187,山东省,济宁
188,山东省,泰安
189,山东省,威海
190,山东省,日照
191,山东省,莱芜
192,山东省,临沂
193,山东省,德州
194,山东省,聊城
195,山东省,滨州
196,山东省,菏泽
197,河南省,郑州
198,河南省,开封
199,河南省,洛阳
200,河南省,平顶山
201,河南省,安阳
202,河南省,鹤壁
203,河南省,新乡
204,河南省,焦作
205,河南省,濮阳
206,河南省,许昌
207,河南省,漯河
208,河南省,三门峡
209,河南省,南阳
210,河南省,商丘
211,河南省,信阳
212,河南省,周口
213,河南省,驻马店
214,河南省,济源
215,湖北省,武汉
216,湖北省,黄石
217,湖北省,十堰
218,湖北省,宜昌
219,湖北省,襄阳
220,湖北省,鄂州
221,湖北省,荆门
222,湖北省,孝感
223,湖北省,荆州
224,湖北省,黄冈
225,湖北省,咸宁
226,湖北省,随州
227,湖北省,恩施土家族苗族自治
228,湖北省,仙桃
229,湖北省,潜江
230,湖北省,天门
231,湖北省,神农架林
232,湖南省,长沙
233,湖南省,株洲
234,湖南省,湘潭
235,湖南省,衡阳
236,湖南省,邵阳
237,湖南省,岳阳
238,湖南省,常德
239,湖南省,张家界
240,湖南省,益阳
241,湖南省,郴州
242,湖南省,永州
243,湖南省,怀化
244,湖南省,娄底
245,湖南省,湘西土家族苗族自治
246,广东省,广州
247,广东省,韶关
248,广东省,深圳
249,广东省,珠海
250,广东省,汕头
251,广东省,佛山
252,广东省,江门
253,广东省,湛江
254,广东省,茂名
255,广东省,肇庆
256,广东省,惠州
257,广东省,梅州
258,广东省,汕尾
259,广东省,河源
260,广东省,阳江
261,广东省,清远
262,广东省,东莞
263,广东省,中山
264,广东省,潮州
265,广东省,揭阳
266,广东省,云浮
267,广西壮族自治区,南宁
268,广西壮族自治区,柳州
269,广西壮族自治区,桂林
270,广西壮族自治区,梧州
271,广西壮族自治区,北海
272,广西壮族自治区,防城港
273,广西壮族自治区,钦州
274,广西壮族自治区,贵港
275,广西壮族自治区,玉林
276,广西壮族自治区,百色
277,广西壮族自治区,贺州
278,广西壮族自治区,河池
279,广西壮族自治区,来宾
280,广西壮族自治区,崇左
281,海南省,海口
282,海南省,三亚
283,海南省,三沙
284,海南省,儋州
285,海南省,五指山
286,海南省,琼海
287,海南省,文昌
288,海南省,万宁
289,海南省,东方
290,海南省,定安
291,海南省,屯昌
292,海南省,澄迈
293,海南省,临高
294,海南省,白沙黎族自治
295,海南省,昌江黎族自治
296,海南省,乐东黎族自治
297,海南省,陵水黎族自治
298,海南省,保亭黎族苗族自治
299,海南省,琼中黎族苗族自治
300,重庆市,万州
301,重庆市,涪陵
302,重庆市,渝中
303,重庆市,大渡口
304,重庆市,江北
305,重庆市,沙坪坝
306,重庆市,九龙坡
307,重庆市,南岸
308,重庆市,北碚
309,重庆市,綦江
310,重庆市,大足
311,重庆市,渝北
312,重庆市,巴南
313,重庆市,黔江
314,重庆市,长寿
315,重庆市,江津
316,重庆市,合川
