监测点编码,城市,省
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1001A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1002A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1003A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1004A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1005A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
1006A,北京,北京市
