,监测点编码,城市
0,1001A,北京
1,1002A,北京
2,1003A,北京
3,1004A,北京
4,1005A,北京
5,1006A,北京
6,1007A,北京
7,1008A,北京
8,1009A,北京
9,1010A,北京
10,1011A,北京
11,1012A,北京
12,1013A,天津
13,1014A,天津
14,1015A,天津
15,1016A,天津
16,1017A,天津
17,1018A,天津
18,1019A,天津
19,1020A,天津
20,1021A,天津
21,1022A,天津
22,1023A,天津
23,1024A,天津
24,1025A,天津
25,1026A,天津
26,1027A,天津
27,1028A,石家庄
28,1029A,石家庄
29,1030A,石家庄
30,1031A,石家庄
31,1032A,石家庄
32,1033A,石家庄
33,1034A,石家庄
34,1035A,石家庄
35,1036A,唐山
36,1037A,唐山
37,1038A,唐山
38,1039A,唐山
39,1040A,唐山
40,1041A,唐山
41,1042A,秦皇岛
42,1043A,秦皇岛
43,1044A,秦皇岛
44,1045A,秦皇岛
45,1046A,秦皇岛
46,1047A,邯郸
47,1048A,邯郸
48,1049A,邯郸
49,1050A,邯郸
50,1051A,保定
51,1052A,保定
52,1053A,保定
53,1054A,保定
54,1055A,保定
55,1056A,保定
56,1057A,张家口
57,1058A,张家口
58,1059A,张家口
59,1060A,张家口
60,1061A,张家口
61,1062A,承德
62,1063A,承德
63,1064A,承德
64,1065A,承德
65,1066A,承德
66,1067A,廊坊
67,1068A,廊坊
68,1069A,廊坊
69,1070A,廊坊
70,1071A,沧州
71,1072A,沧州
72,1073A,沧州
73,1074A,衡水
74,1075A,衡水
75,1076A,衡水
76,1077A,邢台
77,1078A,邢台
78,1079A,邢台
79,1080A,邢台
80,1081A,太原
81,1082A,太原
82,1083A,太原
83,1084A,太原
84,1085A,太原
85,1086A,太原
86,1087A,太原
87,1088A,太原
88,1089A,太原
89,1090A,呼和浩特
90,1091A,呼和浩特
91,1092A,呼和浩特
92,1093A,呼和浩特
93,1094A,呼和浩特
94,1095A,呼和浩特
95,1096A,呼和浩特
96,1097A,呼和浩特
97,1098A,沈阳
98,1099A,沈阳
99,1100A,沈阳
100,1101A,沈阳
101,1102A,沈阳
102,1103A,沈阳
103,1104A,沈阳
104,1105A,沈阳
105,1106A,沈阳
106,1107A,沈阳
107,1108A,沈阳
108,1109A,大连
109,1110A,大连
110,1111A,大连
111,1112A,大连
112,1113A,大连
113,1114A,大连
114,1115A,大连
115,1116A,大连
116,1117A,大连
117,1118A,大连
118,1119A,长春
119,1120A,长春
120,1121A,长春
121,1122A,长春
122,1123A,长春
123,1124A,长春
124,1125A,长春
125,1126A,长春
126,1127A,长春
127,1128A,长春
128,1129A,哈尔滨
129,1130A,哈尔滨
130,1131A,哈尔滨
131,1132A,哈尔滨
132,1133A,哈尔滨
133,1134A,哈尔滨
134,1135A,哈尔滨
135,1136A,哈尔滨
136,1137A,哈尔滨
137,1138A,哈尔滨
138,1139A,哈尔滨
139,1140A,哈尔滨
140,1141A,上海
141,1142A,上海
142,1143A,上海
143,1144A,上海
144,1145A,上海
145,1146A,上海
146,1147A,上海
147,1148A,上海
148,1149A,上海
149,1150A,上海
150,1151A,南京
151,1152A,南京
152,1153A,南京
153,1154A,南京
154,1155A,南京
155,1156A,南京
156,1157A,南京
157,1158A,南京
158,1159A,南京
159,1160A,苏州
160,1161A,苏州
161,1162A,苏州
162,1163A,苏州
163,1164A,苏州
164,1165A,苏州
165,1166A,苏州
166,1167A,苏州
167,1168A,南通
168,1169A,南通
169,1170A,南通
170,1171A,南通
171,1172A,南通
172,1173A,连云港
173,1174A,连云港
174,1175A,连云港
175,1176A,连云港
176,1177A,徐州
177,1178A,徐州
178,1179A,徐州
179,1180A,徐州
180,1181A,徐州
181,1182A,徐州
182,1183A,徐州
183,1184A,扬州
184,1185A,扬州
185,1186A,扬州
186,1187A,扬州
187,1188A,无锡
188,1189A,无锡
189,1190A,无锡
190,1191A,无锡
191,1192A,无锡
192,1193A,无锡
193,1194A,无锡
194,1195A,无锡
195,1196A,常州
196,1197A,常州
197,1198A,常州
198,1199A,常州
199,1200A,常州
200,1201A,常州
201,1202A,镇江
202,1203A,镇江
203,1204A,镇江
204,1205A,镇江
205,1206A,泰州
206,1207A,泰州
207,1208A,泰州
208,1209A,泰州
209,1210A,淮安
210,1211A,淮安
211,1212A,淮安
212,1213A,淮安
213,1214A,淮安
214,1215A,盐城
215,1216A,盐城
216,1217A,盐城
217,1218A,盐城
218,1219A,宿迁
219,1220A,宿迁
220,1221A,宿迁
221,1222A,宿迁
222,1223A,杭州
223,1224A,杭州
224,1225A,杭州
225,1226A,杭州
226,1227A,杭州
227,1228A,杭州
228,1229A,杭州
229,1230A,杭州
230,1231A,杭州
231,1232A,杭州
232,1233A,杭州
233,1234A,宁波
234,1235A,宁波
235,1236A,宁波
236,1237A,宁波
237,1238A,宁波
238,1239A,宁波
239,1240A,宁波
240,1241A,宁波
241,1242A,温州
242,1243A,温州
243,1244A,温州
244,1245A,温州
245,1246A,绍兴
246,1247A,绍兴
247,1248A,绍兴
248,1249A,湖州
249,1250A,湖州
250,1251A,湖州
251,1252A,嘉兴
252,1253A,嘉兴
253,1254A,嘉兴
254,1255A,台州
255,1256A,台州
256,1257A,台州
257,1258A,舟山
258,1259A,舟山
259,1260A,舟山
260,1261A,金华
261,1262A,金华
262,1263A,金华
263,1264A,衢州
264,1265A,衢州
265,1266A,衢州
266,1267A,丽水
267,1268A,丽水
268,1269A,丽水
269,1270A,合肥
